model,controller,planned_runs,complete_runs,mean_test_gap,mean_seed_test_gap,mean_tokens,mean_elapsed_seconds,runs_with_B,completed_proposals,valid_generated,parse_failures,program_failures,execution_failures_after_parsing,model_calls,known_tokens,branch_admissions,branch_evaluations,valid_branch_children,branch_parent_improvements,branch_global_improvements,successful_extensions,multi_branch_slots,family_differentiated_slots,full_vs_fifo_differences,full_vs_gain_differences,actual_differs_gain,length_limited_responses,unclosed_thinking_responses,fallback_entries,available_entries,fallback_fraction,q_span_dominates,q_max,weighted_gain_max,max_success_depth,observability_diagnostic_passed,proposal_failure_fraction,runs_selecting_seed
MiniMax-M3,niche_fixed_dev,8,8,0.059832779155814454,0.06228340205945105,26629.5,118.15099141250539,4,64,14,50,50,0,79,213036,7,9,1,1,0,1,0,0,0,0,0,50,0,5,9,0.5555555555555556,0,0.6666666666666666,0.007635685928368111,2,False,0.78125,6
MiniMax-M3,relational_branch,8,8,0.06101880725609715,0.06228340205945105,26140.125,101.99676521251968,6,64,11,53,53,0,77,209121,6,9,2,0,0,0,0,0,0,0,0,53,0,5,9,0.5555555555555556,0,0.5,0.008236206516766223,1,False,0.828125,3
