job_id,step,available_B,development,ordinary_decision_equal,full_decision_equal,planner_prompt_equal
minimax-niche_fixed_dev-b4,4,0,False,True,True,True
minimax-niche_fixed_dev-b4,5,0,False,True,True,True
minimax-niche_fixed_dev-b4,6,0,False,True,True,True
minimax-niche_fixed_dev-b4,7,0,False,True,True,True
minimax-relational_branch-b9,0,0,False,True,True,True
minimax-relational_branch-b9,1,0,False,True,True,True
minimax-relational_branch-b9,2,0,False,True,True,True
minimax-relational_branch-b9,3,0,False,True,True,True
minimax-relational_branch-b9,4,0,False,True,True,True
minimax-relational_branch-b9,5,0,False,True,True,True
minimax-relational_branch-b9,6,0,False,True,True,True
minimax-relational_branch-b9,7,0,False,True,True,True
