model,task,method,seed,steps,best_validation_loss,validation_selected_test_loss,quality_constrained_modes,test_quality_constrained_modes,terminal_collision_rate,useful_generated,valid_fraction,total_tokens,feature_calls,local_checks,evaluator_cpu_seconds,test_evaluator_cpu_seconds,mean_best_validation_loss_over_candidates,useful_per_10k_tokens,improvement_over_seed_validation,run
qwen3.7-plus,tsp,terminal,0,12,0.030853534155842615,0.04542303604503861,3,2,0.4166666666666667,4,1.0,46043,15930,6480,1.25,1.03125,0.059698764092798756,0.8687531220815324,0.04239172548529675,chapter6_demo\runs\pilot_qwen\tsp_terminal_s0
qwen3.7-plus,tsp,terminal,1,12,0.07109286971203431,0.06942896204454878,5,4,0.5,3,1.0,42211,15930,6480,1.234375,1.28125,0.07532684489733721,0.7107152164127833,0.0021523899291050613,chapter6_demo\runs\pilot_qwen\tsp_terminal_s1
qwen3.7-plus,tsp,terminal,2,12,0.04386882476541254,0.04663911871890136,2,2,0.3333333333333333,2,1.0,39753,15930,6480,1.234375,0.90625,0.056890496275708684,0.503106683772294,0.02937643487572683,chapter6_demo\runs\pilot_qwen\tsp_terminal_s2
qwen3.7-plus,tsp,terminal,3,12,0.04650318496412744,0.04909124432994064,2,2,0.4166666666666667,4,1.0,42197,15930,6480,1.296875,0.875,0.06673999048668505,0.947934687300045,0.02674207467701193,chapter6_demo\runs\pilot_qwen\tsp_terminal_s3
qwen3.7-plus,tsp,terminal,4,12,0.07324525964113937,0.0493283817398199,3,1,0.4166666666666667,1,1.0,41459,15930,6480,1.125,0.9375,0.07647478619285991,0.24120215152319158,0.0,chapter6_demo\runs\pilot_qwen\tsp_terminal_s4
MiniMax-M3,binpack,niche,0,12,0.08568803447926386,0.12305882722757955,2,2,0.9166666666666666,0,1.0,28987,23531,0,0.9375,0.109375,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_minimax\binpack_niche_s0
MiniMax-M3,binpack,niche,1,12,0.08568803447926386,0.12305882722757955,5,4,0.5,2,0.9166666666666666,34272,22084,0,0.953125,0.5625,0.0859694909732391,0.5835667600373483,0.0,chapter6_demo\runs\pilot_minimax\binpack_niche_s1
MiniMax-M3,binpack,niche,2,12,0.08568803447926386,0.12305882722757955,7,7,0.16666666666666666,6,0.8333333333333334,29909,19994,0,0.71875,0.796875,0.0859694909732391,2.006085124878799,0.0,chapter6_demo\runs\pilot_minimax\binpack_niche_s2
MiniMax-M3,binpack,relational,0,12,0.08568803447926386,0.12305882722757955,7,7,0.6666666666666666,4,1.0,40369,23206,0,1.03125,0.90625,0.0859694909732391,0.9908593227476529,0.0,chapter6_demo\runs\pilot_minimax\binpack_relational_s0
MiniMax-M3,binpack,relational,1,12,0.08568803447926386,0.12305882722757955,4,4,0.5,2,0.6666666666666666,38380,17146,0,0.65625,0.4375,0.0859694909732391,0.5211047420531527,0.0,chapter6_demo\runs\pilot_minimax\binpack_relational_s1
MiniMax-M3,binpack,relational,2,12,0.08568803447926386,0.12305882722757955,4,3,0.8333333333333334,2,1.0,40937,22666,0,1.0,0.421875,0.0859694909732391,0.4885555854117302,0.0,chapter6_demo\runs\pilot_minimax\binpack_relational_s2
MiniMax-M3,tsp,niche,0,12,0.05576713355585874,0.05086100920451459,1,1,0.8333333333333334,3,0.9166666666666666,29672,14868,6048,1.3125,0.828125,0.07137761528519343,1.0110541925047183,0.017478126085280633,chapter6_demo\runs\pilot_minimax\tsp_niche_s0
MiniMax-M3,tsp,niche,1,12,0.06762487867688298,0.054971317213094284,4,3,0.5833333333333334,4,0.8333333333333334,41262,13806,5616,1.375,1.265625,0.0719784814214548,0.9694149580728031,0.005620380964256391,chapter6_demo\runs\pilot_minimax\tsp_niche_s1
MiniMax-M3,tsp,niche,2,12,0.050190311213177886,0.04035157425689861,2,2,0.75,6,0.9166666666666666,35223,14868,6048,1.4375,0.9375,0.06298031267370845,1.7034324163188825,0.023054948427961484,chapter6_demo\runs\pilot_minimax\tsp_niche_s2
MiniMax-M3,tsp,relational,0,12,0.07324525964113937,0.0493283817398199,1,1,0.08333333333333333,0,0.8333333333333334,40173,13806,5616,1.375,0.71875,0.07647478619285991,0.0,0.0,chapter6_demo\runs\pilot_minimax\tsp_relational_s0
MiniMax-M3,tsp,relational,1,12,0.05262933040781095,0.0933439827083834,4,4,0.3333333333333333,3,0.9166666666666666,49821,14868,6048,1.484375,1.234375,0.06960280978175043,0.6021557174685374,0.020615929233328424,chapter6_demo\runs\pilot_minimax\tsp_relational_s1
MiniMax-M3,tsp,relational,2,12,0.0613145238209182,0.07143879982899508,1,1,0.5833333333333334,1,1.0,40127,15930,6480,1.5,0.828125,0.07090710947675669,0.24920876218007826,0.011930735820221174,chapter6_demo\runs\pilot_minimax\tsp_relational_s2
qwen3.7-plus,binpack,relational_no_w,0,12,0.08568803447926386,0.12305882722757955,2,2,1.0,0,1.0,36263,23256,0,0.4375,0.09375,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_no_w\binpack_relational_no_w_s0
qwen3.7-plus,binpack,relational_no_w,1,12,0.08568803447926386,0.12305882722757955,2,2,1.0,0,1.0,36127,22036,0,0.453125,0.109375,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_no_w\binpack_relational_no_w_s1
qwen3.7-plus,binpack,relational_no_w,2,12,0.08568803447926386,0.12305882722757955,2,2,1.0,0,1.0,36378,22655,0,0.4375,0.09375,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_no_w\binpack_relational_no_w_s2
qwen3.7-plus,binpack,relational_no_w,3,12,0.08568803447926386,0.12305882722757955,3,3,0.9166666666666666,1,1.0,36817,23781,0,0.453125,0.15625,0.0859694909732391,0.2716136567346606,0.0,chapter6_demo\runs\pilot_no_w\binpack_relational_no_w_s3
qwen3.7-plus,binpack,relational_no_w,4,12,0.08568803447926386,0.12305882722757955,3,3,0.9166666666666666,1,1.0,36051,22761,0,0.46875,0.1875,0.0859694909732391,0.2773848159551746,0.0,chapter6_demo\runs\pilot_no_w\binpack_relational_no_w_s4
qwen3.7-plus,tsp,relational_no_w,0,12,0.07324525964113937,0.0493283817398199,4,1,0.4166666666666667,1,1.0,41005,15930,6480,1.265625,1.15625,0.07647478619285991,0.24387269845140835,0.0,chapter6_demo\runs\pilot_no_w\tsp_relational_no_w_s0
qwen3.7-plus,tsp,relational_no_w,1,12,0.053082890508834156,0.05448750950636878,1,1,0.5833333333333334,1,1.0,38042,15930,6480,1.21875,0.890625,0.06572152265563046,0.2628673571315914,0.020162369132305215,chapter6_demo\runs\pilot_no_w\tsp_relational_no_w_s1
qwen3.7-plus,tsp,relational_no_w,2,12,0.03160237872694738,0.03634545319493215,1,1,0.4166666666666667,3,1.0,38489,15930,6480,1.234375,0.71875,0.054948591764968274,0.779443477357167,0.04164288091419199,chapter6_demo\runs\pilot_no_w\tsp_relational_no_w_s2
qwen3.7-plus,tsp,relational_no_w,3,12,0.039442847857364495,0.048073080114356175,4,4,0.3333333333333333,3,1.0,39993,15930,6480,1.203125,1.09375,0.051686350884758335,0.7501312729727703,0.033802411783774876,chapter6_demo\runs\pilot_no_w\tsp_relational_no_w_s3
qwen3.7-plus,tsp,relational_no_w,4,12,0.022661376823344903,0.029881870277479062,3,3,0.16666666666666666,5,0.9166666666666666,42232,14868,6048,1.203125,0.96875,0.05600204737614146,1.183936351581739,0.05058388281779447,chapter6_demo\runs\pilot_no_w\tsp_relational_no_w_s4
qwen3.7-plus,classification,niche,0,12,0.02411038489469862,0.06458700021221087,3,2,1.0,1,1.0,29268,7950,0,0.171875,0.0,0.02589203582667635,0.3416700833675003,0.003340595497458243,chapter6_demo\runs\pilot_classification\classification_niche_s0
qwen3.7-plus,classification,niche,1,12,0.027450980392156862,0.0868316918198954,4,3,1.0,0,1.0,27142,7950,0,0.109375,0.015625,0.027450980392156862,0.0,0.0,chapter6_demo\runs\pilot_classification\classification_niche_s1
qwen3.7-plus,classification,niche,2,12,0.0196078431372549,0.05397021558127052,3,2,1.0,1,1.0,26572,7950,0,0.15625,0.0,0.023790849673202615,0.3763359927743489,0.00784313725490196,chapter6_demo\runs\pilot_classification\classification_niche_s2
qwen3.7-plus,classification,quality,0,12,0.02411038489469862,0.06458700021221087,3,2,1.0,1,1.0,25101,7950,0,0.09375,0.015625,0.027228274025659645,0.3983905023704235,0.003340595497458243,chapter6_demo\runs\pilot_classification\classification_quality_s0
qwen3.7-plus,classification,quality,1,12,0.027450980392156862,0.0868316918198954,3,1,1.0,0,1.0,25338,7950,0,0.09375,0.015625,0.027450980392156862,0.0,0.0,chapter6_demo\runs\pilot_classification\classification_quality_s1
qwen3.7-plus,classification,quality,2,12,0.02018881626724764,0.05397021558127052,3,1,1.0,2,1.0,27919,7950,0,0.125,0.015625,0.02529169692568385,0.716358035746266,0.007262164124909223,chapter6_demo\runs\pilot_classification\classification_quality_s2
qwen3.7-plus,classification,relational,0,12,0.02411038489469862,0.05009424658902245,3,1,0.9166666666666666,1,1.0,39824,7950,0,0.140625,0.015625,0.0252239167271847,0.2511048613901165,0.003340595497458243,chapter6_demo\runs\pilot_classification\classification_relational_s0
qwen3.7-plus,classification,relational,1,12,0.02018881626724764,0.06458700021221087,2,1,0.8333333333333334,2,1.0,39578,7950,0,0.125,0.015625,0.02421689663519729,0.5053312446308555,0.007262164124909223,chapter6_demo\runs\pilot_classification\classification_relational_s1
qwen3.7-plus,classification,relational,2,12,0.01626724763979666,0.05009424658902245,4,1,1.0,2,1.0,40082,7950,0,0.125,0.015625,0.023122730573710965,0.4989770969512499,0.011183732752360204,chapter6_demo\runs\pilot_classification\classification_relational_s2
qwen3.7-plus,classification,terminal,0,12,0.02411038489469862,0.04621827759677439,3,1,0.9166666666666666,1,1.0,40273,7950,0,0.15625,0.015625,0.026782861292665213,0.2483053162168202,0.003340595497458243,chapter6_demo\runs\pilot_classification\classification_terminal_s0
qwen3.7-plus,classification,terminal,1,12,0.023529411764705882,0.09070766081214345,4,2,0.9166666666666666,3,1.0,41208,7950,0,0.140625,0.0,0.025030259017187122,0.7280139778683751,0.00392156862745098,chapter6_demo\runs\pilot_classification\classification_terminal_s1
qwen3.7-plus,classification,terminal,2,12,0.023529411764705882,0.09070766081214345,3,3,1.0,1,1.0,40464,7950,0,0.109375,0.015625,0.02718954248366013,0.24713325425069196,0.00392156862745098,chapter6_demo\runs\pilot_classification\classification_terminal_s2
