actual_matches_fifo,admitted,attempt_depth,best_validation_gap,best_validation_gap_after,block,branch_development,classification,controller,eligible_count,family_differentiated,family_fallback_count,family_observations_min,family_q_span,family_scale_exceeds_gain_scale,full_vs_fifo_differs,full_vs_gain_differs,global_gain,global_improved,job_id,multi_branch,node_id,parent_gain,parent_id,parent_improved,same_history_FR_prompt_differs,same_history_FR_selection_differs,seed,step,success_depth,test_data_used,valid,weighted_gain_span
True,False,2,0.045190873935822634,0.045190873935822634,11,True,unproductive_repeat,niche_fixed_dev,2,True,0,6,0.025000000000000022,True,False,False,-0.006615251133362324,False,minimax-niche_fixed_dev-b11-s0,True,24,-0.002450536825951727,13,False,False,False,0,21,,False,True,0.00017758037646648309
True,True,,0.045190873935822634,0.045190873935822634,11,False,competitive_local_improvement,niche_fixed_dev,1,False,0,8,0.0,False,False,False,-0.005389947613571103,False,minimax-niche_fixed_dev-b11-s0,False,25,0.00016882643806998693,16,True,False,False,0,22,3,False,True,0.0
True,False,3,0.045190873935822634,0.045190873935822634,11,True,unproductive_repeat,niche_fixed_dev,2,True,0,5,0.11428571428571432,True,True,True,-0.0044136788698318705,False,minimax-niche_fixed_dev-b11-s0,True,26,-0.00020361859380908093,19,False,True,True,0,23,,False,True,0.0021822766122126316
True,False,,0.045190873935822634,0.045190873935822634,11,False,unproductive_repeat,niche_fixed_dev,2,False,0,5,0.1688311688311689,True,False,False,-0.020056112013800836,False,minimax-niche_fixed_dev-b11-s0,False,27,,,False,False,False,0,24,,False,True,0.0010700350013475675
True,True,3,0.045190873935822634,0.045190873935822634,11,True,competitive_local_improvement,niche_fixed_dev,2,True,0,5,0.2142857142857143,True,True,True,-0.003998448620920442,False,minimax-niche_fixed_dev-b11-s0,True,28,0.0002116116551023478,19,True,True,True,0,25,3,False,True,0.0010700350013475675
True,True,,0.045190873935822634,0.045190873935822634,11,False,competitive_local_improvement,niche_fixed_dev,2,False,0,5,0.17582417582417587,True,False,False,-0.003045147476232836,False,minimax-niche_fixed_dev-b11-s0,False,29,0.02612810594749492,21,True,False,False,0,26,1,False,True,1.069630425809022e-05
True,False,4,0.045190873935822634,0.045190873935822634,11,True,unproductive_repeat,niche_fixed_dev,3,True,0,5,0.17582417582417587,True,False,True,-0.0115438052364331,False,minimax-niche_fixed_dev-b11-s0,True,30,-0.006153857622861997,25,False,False,False,0,27,,False,True,0.006489819877356234
True,True,,0.045190873935822634,0.045190873935822634,11,False,competitive_local_improvement,niche_fixed_dev,3,False,0,6,0.08653846153846156,True,False,False,-0.010406859182374717,False,minimax-niche_fixed_dev-b11-s0,False,31,0.012974363910608772,1,True,False,False,0,28,1,False,True,0.006510923182114982
True,False,4,0.045190873935822634,0.045190873935822634,11,True,unproductive_repeat,niche_fixed_dev,3,True,0,4,0.26666666666666666,True,True,False,-0.00608243531887568,False,minimax-niche_fixed_dev-b11-s0,True,32,-0.0020839866979552382,28,False,True,True,0,29,,False,True,0.006479123573098143
True,False,,0.045190873935822634,0.045190873935822634,11,False,unproductive_repeat,niche_fixed_dev,3,False,0,4,0.26666666666666666,True,False,False,-0.005481221787881352,False,minimax-niche_fixed_dev-b11-s0,False,33,-9.127417431024909e-05,25,False,False,False,0,30,,False,True,0.006505575029985937
True,False,4,0.045190873935822634,0.045190873935822634,11,True,unproductive_repeat,niche_fixed_dev,3,True,0,4,0.26666666666666666,True,True,False,-0.029151932781822792,False,minimax-niche_fixed_dev-b11-s0,True,34,-0.02515348416090235,28,False,True,True,0,31,,False,True,0.006505575029985937
True,True,,0.06675705834313762,0.06006462703634268,12,False,competitive_local_improvement,niche_fixed_dev,0,False,0,,0.0,False,False,False,0.006692431306794942,True,minimax-niche_fixed_dev-b12-s1,False,3,0.006692431306794942,1,True,False,False,1,0,1,False,True,0.0
True,False,2,0.06006462703634268,0.06006462703634268,12,True,unproductive_repeat,niche_fixed_dev,1,False,1,1,0.0,False,False,False,-0.004098722369758896,False,minimax-niche_fixed_dev-b12-s1,False,4,-0.004098722369758896,3,False,False,False,1,1,,False,True,0.0
True,True,,0.06006462703634268,0.05339894758902569,12,False,competitive_local_improvement,niche_fixed_dev,1,False,0,2,0.0,False,False,False,0.00666567944731699,True,minimax-niche_fixed_dev-b12-s1,False,5,0.036243048718658466,2,True,False,False,1,2,1,False,True,0.0
True,True,2,0.05339894758902569,0.05339894758902569,12,True,competitive_local_improvement,niche_fixed_dev,2,True,1,1,0.09999999999999998,True,True,False,-0.0006858259930572139,False,minimax-niche_fixed_dev-b12-s1,True,6,0.005979853454259776,3,True,True,True,1,3,2,False,True,0.008224208266315248
True,False,,0.05339894758902569,0.05339894758902569,12,False,low_quality_novel_behavior,niche_fixed_dev,2,False,1,1,0.06666666666666665,True,False,False,-0.038863334004544364,False,minimax-niche_fixed_dev-b12-s1,False,7,,,False,False,False,1,4,,False,True,0.0075657988160996725
