admission_improved_global,admission_parent_gain,admission_step,attempts_received,block,controller,eviction_step,final_best_parent_ancestor,first_followup_step,future_scheduled_slots,global_improving_followups,initial_grant,job_id,node_id,parent_improving_followups,seed,unused_at_eviction,unused_at_horizon,valid_followups
True,0.0013022420943368182,28,1,12,relational_branch,30,True,29,2,0,2,minimax-relational_branch-b12-s0,31,0,0,1,0,1
False,0.0017920446391320732,30,1,12,relational_branch,31,False,31,1,0,2,minimax-relational_branch-b12-s0,33,1,0,1,0,1
False,0.005363811854112804,31,0,12,relational_branch,,False,,0,0,2,minimax-relational_branch-b12-s0,34,0,0,0,2,0
True,0.0014079113083028255,2,2,13,relational_branch,6,False,3,15,2,2,minimax-relational_branch-b13-s1,5,2,1,0,0,2
True,0.00022633358415397042,3,0,13,relational_branch,16,False,,14,0,2,minimax-relational_branch-b13-s1,6,0,1,2,0,0
True,0.0016212344089711478,5,2,13,relational_branch,10,False,7,13,0,2,minimax-relational_branch-b13-s1,8,0,1,0,0,2
False,0.00817946187553513,6,2,13,relational_branch,17,False,15,13,2,2,minimax-relational_branch-b13-s1,9,2,1,0,0,2
True,0.00434046961443342,10,2,13,relational_branch,15,False,11,11,0,2,minimax-relational_branch-b13-s1,13,0,1,0,0,2
True,0.003773306785554334,15,0,13,relational_branch,18,False,,8,0,2,minimax-relational_branch-b13-s1,18,0,1,2,0,0
False,0.005561070249852654,16,0,13,relational_branch,20,False,,8,0,2,minimax-relational_branch-b13-s1,19,0,1,2,0,0
True,0.006620407701202244,17,1,13,relational_branch,19,False,19,7,1,2,minimax-relational_branch-b13-s1,20,1,1,1,0,1
True,0.014920650660849466,18,2,13,relational_branch,30,False,27,7,0,2,minimax-relational_branch-b13-s1,21,0,1,0,0,2
True,0.008058922157872503,19,1,13,relational_branch,22,False,21,6,0,2,minimax-relational_branch-b13-s1,22,0,1,1,0,1
False,0.0065356989298373525,20,0,13,relational_branch,,False,,6,0,2,minimax-relational_branch-b13-s1,23,0,1,0,2,0
False,0.01272822370946508,22,2,13,relational_branch,26,False,23,5,0,2,minimax-relational_branch-b13-s1,25,0,1,0,0,2
False,0.0013777771160749935,26,0,13,relational_branch,31,False,,3,0,2,minimax-relational_branch-b13-s1,29,0,1,2,0,0
True,0.021101512527796427,30,1,13,relational_branch,,True,31,1,1,2,minimax-relational_branch-b13-s1,33,1,1,0,1,1
True,0.006759471732937519,31,0,13,relational_branch,,True,,0,0,2,minimax-relational_branch-b13-s1,34,0,1,0,2,0
True,0.006029005075096475,0,2,13,niche_fixed_dev,6,True,1,16,1,2,minimax-niche_fixed_dev-b13-s0,3,1,0,0,0,2
True,0.000326114515325035,1,2,13,niche_fixed_dev,7,True,5,15,2,2,minimax-niche_fixed_dev-b13-s0,4,2,0,0,0,2
True,0.005875129490443595,5,1,13,niche_fixed_dev,9,False,9,13,0,2,minimax-niche_fixed_dev-b13-s0,8,1,0,1,0,1
False,0.003674604317482677,6,0,13,niche_fixed_dev,10,False,,13,0,2,minimax-niche_fixed_dev-b13-s0,9,0,0,2,0,0
True,0.013735003062811384,7,2,13,niche_fixed_dev,15,False,11,12,0,2,minimax-niche_fixed_dev-b13-s0,10,0,0,0,0,2
False,0.0064628455403209426,9,2,13,niche_fixed_dev,17,False,15,11,1,2,minimax-niche_fixed_dev-b13-s0,12,2,0,0,0,2
False,0.011604331105043969,10,2,13,niche_fixed_dev,21,True,19,11,1,2,minimax-niche_fixed_dev-b13-s0,13,2,0,0,0,2
True,0.004926725813057038,15,0,13,niche_fixed_dev,19,False,,8,0,2,minimax-niche_fixed_dev-b13-s0,18,0,0,2,0,0
False,0.00015740882769044867,17,0,13,niche_fixed_dev,18,False,,7,0,2,minimax-niche_fixed_dev-b13-s0,20,0,0,2,0,0
True,0.019285138237481583,18,2,13,niche_fixed_dev,26,False,23,7,0,2,minimax-niche_fixed_dev-b13-s0,21,2,0,0,0,2
