job_id,provider,model,task,method,block,regime,steps,token_budget,single_test_loss,selector_test_loss,single_algorithm_seconds,selected_algorithm_seconds,saved_selector_feature_and_predict_seconds,selector_total_seconds,end_to_end_time_ratio,single_feature_calls,selected_feature_calls,selected_local_checks,test_instances,prediction_timing_mode,exact_reference_generation_timed,replay_matches
qwen-tsp-relational_rr-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_rr,0,tokens30000,32,30000,0.07798923407672351,0.08114188322661392,0.24856380000710487,0.23827809991780668,0.09262880007736385,0.33090689999517053,1.3312755115013208,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-niche-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,1,slots8,8,,0.05868623046156355,0.07033494901979585,0.22867020010016859,0.24998000008054078,0.06407409999519587,0.31405410007573664,1.3733932096887385,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-niche-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,1,tokens30000,32,30000,0.030621346810096355,0.05888051139194306,0.25794599996879697,0.29336879996117204,0.06525589991360903,0.35862469987478107,1.3903092116883493,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,1,slots8,8,,0.04672769730895216,0.055007865633701816,0.2663555999752134,0.26299999991897494,0.068245799979195,0.33124579989816993,1.2436224353045142,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,1,tokens30000,32,30000,0.06126060245883437,0.06713468876822087,0.24534100003074855,0.2235749999526888,0.06618869991507381,0.2897636998677626,1.1810651290711565,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,1,slots8,8,,0.05733297248122856,0.057618614952911616,0.2563631000230089,0.24957850005012006,0.06776289991103113,0.3173413999611512,1.2378591144071414,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,1,tokens30000,32,30000,0.06817287696465951,0.06992706357065173,0.34839049994479865,0.3566522999899462,0.08285760006401688,0.43950990005396307,1.2615438713845584,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp_rr-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,1,slots8,8,,0.0680063516977589,0.05331990485278201,0.2281569999177009,0.25702160003129393,0.06852740002796054,0.32554900005925447,1.426863958487726,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp_rr-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,1,tokens30000,32,30000,0.06126060245883437,0.06330647582914678,0.22934259998146445,0.22906959999818355,0.0651669999351725,0.29423659993335605,1.282956589648571,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_rr-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,1,slots8,8,,0.058337270423890204,0.06232238116939014,0.2243027000222355,0.21448919991962612,0.06302110000979155,0.27751029992941767,1.2372133723843164,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_rr-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,1,tokens30000,32,30000,0.05888835255435846,0.07008878663551898,0.213905300013721,0.2358198999427259,0.08963800000492483,0.32545789994765073,1.5215046094078744,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-niche-b1-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,1,slots8,8,,0.044768149506068146,0.04857774135877112,0.24750510009471327,0.30082840006798506,0.08906310005113482,0.3898915001191199,1.575286731343796,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-niche-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,1,tokens30000,32,30000,0.06342870067576761,0.060931303732214635,0.2617214999627322,0.26170759997330606,0.06396029994357377,0.32566789991687983,1.2443299460046395,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational-b1-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,1,slots8,8,,0.047128511241972065,0.0451157394978822,0.24930829997174442,0.23739699996076524,0.08656790002714843,0.32396489998791367,1.2994549320043918,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,1,tokens30000,32,30000,0.06126060245883437,0.06485270570364099,0.2376853000605479,0.23798829992301762,0.09586090000811964,0.33384919993113726,1.4045849694789396,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp-b1-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,1,slots8,8,,0.043833333534036484,0.04804887203441539,0.23445270000956953,0.23442699993029237,0.06919660000130534,0.3036235999315977,1.295031364190751,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,1,tokens30000,32,30000,0.0738464453045773,0.07712117924411732,0.26155569998081774,0.2547836999874562,0.09146349993534386,0.34624719992280006,1.3237990988083743,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp_rr-b1-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,1,slots8,8,,0.06126060245883437,0.06820399278012451,0.2518243999220431,0.24977480003144592,0.06301839998923242,0.31279320002067834,1.2421083902811216,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp_rr-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,1,tokens30000,32,30000,0.07005354638393319,0.07785798519821725,0.2449880000203848,0.25610950007103384,0.09066980006173253,0.34677930013276637,1.415495045079399,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_rr-b1-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_rr,1,slots8,8,,0.06260632551445816,0.059000300882123255,0.2645574000198394,0.25522959989029914,0.06891489995177835,0.3241444998420775,1.225233162322315,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_rr-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_rr,1,tokens30000,32,30000,0.05316243736720468,0.056675690081855544,0.2322133999550715,0.25009340001270175,0.09741720010060817,0.3475106001133099,1.4965139831747265,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-niche-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,2,slots8,8,,0.05206376641266345,0.05102935154440657,0.20606709993444383,0.22778469999320805,0.07200479996390641,0.29978949995711446,1.454814961012634,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
