job_id,provider,model,task,method,block,regime,steps,token_budget,status,result_present,source_fingerprint,benchmark_version,request_errors,usage_complete,reservation_violations,budget_stop_stage,selector_status,validation_selected_test_loss,validation_selected_test_valid,common_gate_test_behavior_modes,common_gate_test_eligible_size,valid_fraction,tokens_used,token_budget_valid,learned_selector_test_loss,selector_gain_vs_single,selector_seconds_per_instance,oracle_gain_upper_bound,parent_improvements,neighborhood_improvements,productive_collisions,unproductive_collisions,restarts,generated,valid_generated,input_tokens,output_tokens,model_calls,partial_attempts,elapsed_seconds
qwen-binpack-niche-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,0,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,1,False,0,stop_after_unknown_usage,not_applicable_online_task,0.10892689570996252,True,2,2,0.8333333333333334,,False,,,,,3,0,3,2,1,6,5,9104,838,10,0,146.0233137999894
minimax-tsp-relational_rr-b4-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,4,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05186854709736476,True,4,4,1.0,29930,,0.04779055754814501,0.00407798954921975,0.0017456805572793302,0.013756268016348633,0,1,0,1,6,8,8,26996,2934,16,0,48.109566000057384
minimax-binpack-niche-b4-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,niche,4,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.10828340769890829,True,2,2,1.0,22680,True,,,,,2,0,2,6,1,8,8,19271,3409,16,0,58.273056800011545
minimax-tsp-niche-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,1,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.030621346810096355,True,5,6,1.0,23745,True,0.05888051139194306,-0.028259164581846703,0.0018126638864891396,0.010363434411881641,4,2,3,0,1,8,8,20918,2827,16,0,36.687322399928235
qwen-binpack-relational-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational,3,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.11780149380826194,True,3,3,1.0,20388,True,,,,,0,0,0,5,6,6,6,18954,1434,12,0,50.79484579991549
qwen-tsp-relational_qp_rr-b4-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,4,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.05186854709736476,True,1,1,1.0,20143,True,0.05186854709736476,0.0,0.0016912000008030897,0.0,0,0,0,0,6,6,6,18342,1801,12,0,48.05010170000605
qwen-tsp-relational_qp-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,2,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05206376641266345,True,1,1,1.0,25441,,0.05206376641266345,0.0,0.001812186111540844,0.0,0,0,0,0,7,8,8,23808,1633,16,0,53.04947500000708
qwen-binpack-relational_rr-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_rr,0,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.10892689570996252,True,3,3,1.0,27777,,,,,,1,0,1,6,7,8,8,26444,1333,16,0,53.223634199937806
minimax-tsp-relational_qp_rr-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,2,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05206376641266345,True,1,1,1.0,34675,,0.05206376641266345,0.0,0.0019318333361297846,0.0,0,0,0,3,7,8,8,31538,3137,16,0,45.79924079996999
minimax-tsp-niche-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,3,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05899181756092463,True,2,3,1.0,23616,,0.06240676040564471,-0.0034149428447200827,0.001848533335659239,0.027931862585454263,2,0,0,0,1,8,8,20767,2849,16,0,43.83461919997353
minimax-tsp-relational_qp_rr-b4-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,4,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05186854709736476,True,2,3,1.0,30381,,0.050234145231085686,0.0016344018662790769,0.0018078916667339702,0.014356841868391992,0,2,2,1,6,8,8,27896,2485,16,0,43.02402159990743
qwen-binpack-niche-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,3,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.11780149380826194,True,6,6,1.0,23728,True,,,,,3,0,1,4,2,10,10,21227,2501,20,0,77.82054670003708
qwen-tsp-relational_qp_rr-b1-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,1,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.06126060245883437,True,5,5,0.875,28872,,0.06820399278012451,-0.006943390321290141,0.0017505111108120116,0.024893472456850627,1,1,1,0,5,8,7,26925,1947,16,0,51.73529320000671
qwen-binpack-relational_qp-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp,2,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.10182804463758785,True,2,2,1.0,27902,,,,,,1,0,1,6,6,8,8,26519,1383,16,0,54.6731072999537
minimax-tsp-relational-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,1,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.06126060245883437,True,4,4,1.0,23076,True,0.06713468876822087,-0.005874086309386503,0.0018385749976409392,0.02425692158439087,1,1,1,0,5,6,6,21113,1963,12,0,24.511860699974932
qwen-tsp-relational-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,2,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.05206376641266345,True,2,2,1.0,22432,True,0.0565781759785986,-0.00451440956593515,0.0018151361113672869,0.011401953540047083,0,0,0,0,6,7,7,20740,1692,14,0,44.95956260000821
minimax-binpack-relational_qp-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp,3,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.11780149380826194,True,2,2,1.0,18486,True,,,,,0,0,0,5,5,5,5,16712,1774,10,0,23.899027800071053
minimax-tsp-relational_qp_rr-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,3,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.052108111771053,True,3,3,1.0,29554,,0.05475533085601489,-0.002647219084961891,0.0017547222248847699,0.021802402533598983,1,0,0,0,5,8,8,26780,2774,16,0,35.32093249994796
qwen-tsp-relational_qp_rr-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,0,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05434974124647226,True,3,3,1.0,29704,,0.05204609596075099,0.002303645285721266,0.001767166663840827,0.008967758441199652,0,2,2,3,6,8,8,27847,1857,16,0,47.44836500007659
