model,task,regime,contrast,metric,eligible_paired_blocks,block_ids,mean_difference,bootstrap_95_low,bootstrap_95_high
MiniMax-M3,tsp,slots8,relational_rr_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",-0.006866289803166048,-0.013772465876121598,-9.40867197619738e-05
MiniMax-M3,tsp,slots8,relational_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",7674.8,4360.8,10988.8
MiniMax-M3,tsp,slots8,relational_qp_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0017131146314625797,-0.003480438124966456,0.0069066673878916155
MiniMax-M3,tsp,slots8,relational_qp_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.2,-2.8,0.2
MiniMax-M3,tsp,slots8,relational_qp_rr_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",-0.0038407962549855484,-0.01139687539658343,0.0023354294500909033
MiniMax-M3,tsp,slots8,relational_qp_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",10063.8,7648.4,12098.8
MiniMax-M3,tsp,tokens30000,relational_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.014022887023982647,0.002778618830581779,0.02526715521738352
MiniMax-M3,tsp,tokens30000,relational_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-2.0,-3.2,-1.0
MiniMax-M3,tsp,tokens30000,relational_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.004513675797923678,-0.0014467061867879632,0.011871785836677237
MiniMax-M3,tsp,tokens30000,relational_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-732.6,-1272.6,-191.8
MiniMax-M3,tsp,tokens30000,relational_qp_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.014640724997260934,0.001249384974808297,0.02803206501971357
MiniMax-M3,tsp,tokens30000,relational_qp_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.8,-4.2,0.2
MiniMax-M3,tsp,tokens30000,relational_qp_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.006128628663547889,0.001310439467059371,0.010946817860036406
MiniMax-M3,tsp,tokens30000,relational_qp_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-2233.2,-3287.8,-1411.2
MiniMax-M3,tsp,tokens30000,relational_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.01696702324039648,0.007895035894235045,0.024958222622320385
MiniMax-M3,tsp,tokens30000,relational_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-2.2,-4.4,-0.2
MiniMax-M3,tsp,tokens30000,relational_rr_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.0077530261570663535,0.003388428046716574,0.011011507085983313
MiniMax-M3,tsp,tokens30000,relational_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-2280.6,-4303.6,-257.6
MiniMax-M3,tsp,tokens30000,relational_qp_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.015060408599274776,0.0048536619811660395,0.02526715521738352
MiniMax-M3,tsp,tokens30000,relational_qp_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.6,-3.6,0.4
MiniMax-M3,tsp,tokens30000,relational_qp_rr_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.006826605081475698,0.0028087007040955582,0.010844509458855837
MiniMax-M3,tsp,tokens30000,relational_qp_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-2034.2,-3213.6,-1047.4
qwen3.7-plus,binpack,slots8,relational_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
qwen3.7-plus,binpack,slots8,relational_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-0.2,-1.2,0.6
qwen3.7-plus,binpack,slots8,relational_minus_niche,selector_loss,0,[],,,
qwen3.7-plus,binpack,slots8,relational_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",11193.2,10618.8,11692.6
qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-0.2,-1.2,0.8
qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,selector_loss,0,[],,,
qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",11448.2,11003.0,11824.0
qwen3.7-plus,binpack,slots8,relational_rr_minus_niche,test_loss,4,"[0, 2, 3, 4]",0.0,0.0,0.0
qwen3.7-plus,binpack,slots8,relational_rr_minus_niche,modes,4,"[0, 2, 3, 4]",0.25,-0.75,1.5
qwen3.7-plus,binpack,slots8,relational_rr_minus_niche,selector_loss,0,[],,,
qwen3.7-plus,binpack,slots8,relational_rr_minus_niche,known_tokens,4,"[0, 2, 3, 4]",11324.5,10486.75,11947.5
qwen3.7-plus,binpack,slots8,relational_qp_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
qwen3.7-plus,binpack,slots8,relational_qp_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",0.0,-1.2,1.0
qwen3.7-plus,binpack,slots8,relational_qp_rr_minus_niche,selector_loss,0,[],,,
qwen3.7-plus,binpack,slots8,relational_qp_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",11608.4,11166.0,12019.4
qwen3.7-plus,binpack,tokens30000,relational_minus_niche,test_loss,4,"[1, 2, 3, 4]",0.0,0.0,0.0
qwen3.7-plus,binpack,tokens30000,relational_minus_niche,modes,4,"[1, 2, 3, 4]",-1.25,-2.5,-0.25
qwen3.7-plus,binpack,tokens30000,relational_minus_niche,selector_loss,0,[],,,
qwen3.7-plus,binpack,tokens30000,relational_minus_niche,known_tokens,4,"[1, 2, 3, 4]",-2702.0,-3448.5,-1845.25
qwen3.7-plus,binpack,tokens30000,relational_qp_minus_niche,test_loss,4,"[1, 2, 3, 4]",0.0,0.0,0.0
qwen3.7-plus,binpack,tokens30000,relational_qp_minus_niche,modes,4,"[1, 2, 3, 4]",-2.25,-3.5,-1.0
qwen3.7-plus,binpack,tokens30000,relational_qp_minus_niche,selector_loss,0,[],,,
qwen3.7-plus,binpack,tokens30000,relational_qp_minus_niche,known_tokens,4,"[1, 2, 3, 4]",-3455.75,-3882.0,-2861.25
qwen3.7-plus,binpack,tokens30000,relational_rr_minus_niche,test_loss,4,"[1, 2, 3, 4]",0.0,0.0,0.0
qwen3.7-plus,binpack,tokens30000,relational_rr_minus_niche,modes,4,"[1, 2, 3, 4]",-1.75,-3.0,-0.5
qwen3.7-plus,binpack,tokens30000,relational_rr_minus_niche,selector_loss,0,[],,,
qwen3.7-plus,binpack,tokens30000,relational_rr_minus_niche,known_tokens,4,"[1, 2, 3, 4]",-3547.5,-4171.5,-2923.5
qwen3.7-plus,binpack,tokens30000,relational_qp_rr_minus_niche,test_loss,4,"[1, 2, 3, 4]",0.0,0.0,0.0
qwen3.7-plus,binpack,tokens30000,relational_qp_rr_minus_niche,modes,4,"[1, 2, 3, 4]",-2.25,-3.5,-1.0
qwen3.7-plus,binpack,tokens30000,relational_qp_rr_minus_niche,selector_loss,0,[],,,
qwen3.7-plus,binpack,tokens30000,relational_qp_rr_minus_niche,known_tokens,4,"[1, 2, 3, 4]",-3607.25,-4190.0,-2933.75
qwen3.7-plus,tsp,slots8,relational_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",-0.008481932378786958,-0.01813941437936001,0.0009441446943615678
qwen3.7-plus,tsp,slots8,relational_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-0.8,-2.4,0.4
qwen3.7-plus,tsp,slots8,relational_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",-0.01273548597513704,-0.026687462845488053,-0.0020466454643530015
qwen3.7-plus,tsp,slots8,relational_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",7689.2,6912.8,8932.0
qwen3.7-plus,tsp,slots8,relational_qp_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.001714139664709087,-0.005463729063756186,0.008930343851905134
