job_id,provider,model,task,method,block,regime,steps,token_budget,relational_qp_fixed_history_decision_changes,relational_qp_fixed_history_action_changes,relational_qp_fixed_history_parent_changes,relational_rr_fixed_history_decision_changes,relational_rr_fixed_history_action_changes,relational_rr_fixed_history_parent_changes,relational_qp_rr_fixed_history_decision_changes,relational_qp_rr_fixed_history_action_changes,relational_qp_rr_fixed_history_parent_changes,restarts,restart_trigger_untried,restart_trigger_saturation,restart_trigger_no_growth,proposals,valid_proposals,global_improvements,global_improvements_colliding,local_development_events,local_only_collisions,local_only_credit_eligible,local_only_credit_exhausted,parent_improvements,neighborhood_improvements,reported_tokens,usage_complete,unused_token_fraction,mean_planner_input_tokens,mean_coder_input_tokens,local_only_identical_to_prior_observed_rule,local_only_weakly_dominated_on_validation,local_only_retained_in_search_archive,local_only_later_used_as_parent,local_only_later_used_as_reference
qwen-binpack-relational-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational,1,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,6,0,0,0,0,0,0,0,0,20030,True,0.33233333333333337,2638.3333333333335,530.3333333333334,,,,,
minimax-tsp-relational_qp-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,0,slots8,8,,0,0,0,0,0,0,0,0,0,7,5,0,6,8,8,0,0,0,0,0,0,0,1,31058,True,,2655.625,851.75,,,,,
minimax-binpack-niche-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,niche,1,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,1,1,1,0,1,0,23600,True,,1744.5,804.5,1,1,0,0,0
minimax-tsp-relational_rr-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,0,slots8,8,,0,0,0,0,0,0,0,0,0,7,5,0,6,8,7,1,1,1,0,0,0,0,1,27376,True,,2370.125,785.875,,,,,
minimax-tsp-relational_rr-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,1,slots8,8,,1,1,1,0,0,0,1,1,1,6,5,0,4,8,8,1,1,1,0,0,0,1,1,32648,True,,2785.625,906.375,,,,,
qwen-tsp-relational-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,2,6,6,2,1,1,0,0,0,0,1,20464,True,0.31786666666666663,2604.8333333333335,592.8333333333334,,,,,
qwen-tsp-relational_qp-b4-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,3,6,6,0,0,1,1,1,0,0,2,21047,True,0.29843333333333333,2706.0,596.5,0,0,1,0,1
qwen-tsp-relational_qp-b1-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,1,slots8,8,,0,0,0,0,0,0,0,0,0,5,5,0,1,8,8,2,0,3,0,0,0,3,0,27593,True,,2613.875,613.0,,,,,
minimax-tsp-relational_qp-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,1,slots8,8,,0,0,0,0,0,0,0,0,0,5,5,0,4,8,8,1,0,1,0,0,0,1,0,29108,True,,2532.625,801.5,,,,,
minimax-tsp-relational_qp-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,2,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,2,8,8,0,0,0,0,0,0,0,0,30708,True,,2586.25,872.125,,,,,
qwen-binpack-relational_qp-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp,2,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,5,0,0,0,0,0,0,0,0,20077,True,0.33076666666666665,2626.0,540.8333333333334,,,,,
minimax-tsp-niche-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,2,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,2,0,2,0,0,0,2,0,23699,True,0.2100333333333333,1728.875,871.5,,,,,
minimax-tsp-relational-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,2,6,6,0,0,1,1,1,0,0,1,21674,True,0.2775333333333333,2501.8333333333335,803.0,0,0,1,0,1
qwen-binpack-relational_qp-b3-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp,3,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,5,8,8,0,0,1,1,1,0,1,0,27651,True,,2769.875,530.25,1,1,0,0,0
qwen-binpack-relational_qp_rr-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp_rr,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,6,0,0,0,0,0,0,0,0,20453,True,0.31823333333333337,2664.1666666666665,547.6666666666666,,,,,
qwen-tsp-relational_qp_rr-b3-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,3,slots8,8,,0,0,0,0,0,0,0,0,0,5,5,0,3,8,8,2,0,2,0,0,0,2,1,25320,True,,2346.0,601.625,,,,,
qwen-tsp-relational-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,0,slots8,8,,0,0,0,0,0,0,0,0,0,5,5,0,2,8,8,1,0,0,0,0,0,0,0,26340,True,,2466.25,609.625,,,,,
qwen-tsp-niche-b4-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,4,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,1,0,1,0,0,0,1,0,20405,True,,1711.75,615.0,,,,,
minimax-binpack-relational_rr-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_rr,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,2,0,0,0,0,0,0,0,0,21257,True,0.2914333333333333,2358.0,730.5,,,,,
qwen-tsp-relational_qp-b4-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,4,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,5,8,8,0,0,0,0,0,0,0,1,29328,True,,2825.375,619.125,,,,,
minimax-tsp-relational_qp_rr-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,6,0,0,1,1,1,0,0,2,21022,True,0.2992666666666667,2457.3333333333335,732.3333333333334,0,0,1,0,0
minimax-binpack-relational_qp_rr-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp_rr,3,slots8,8,,1,1,1,0,0,0,1,1,1,6,5,0,5,8,8,0,0,2,2,2,0,2,0,31071,True,,2823.25,711.125,2,2,0,0,0
qwen-binpack-relational_rr-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_rr,2,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,6,0,0,0,0,0,0,0,0,21132,True,0.2956,2648.5,614.0,,,,,
qwen-binpack-relational_rr-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_rr,2,slots8,8,,0,0,0,0,0,0,0,0,0,7,5,0,6,8,8,0,0,0,0,0,0,0,0,28046,True,,2780.625,547.375,,,,,
qwen-binpack-niche-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,2,tokens30000,32,30000,1,1,1,0,0,0,1,1,1,2,0,0,0,11,10,0,0,3,1,1,0,3,0,23728,True,0.20906666666666662,1408.5454545454545,550.5454545454545,1,1,0,0,0
minimax-binpack-relational_rr-b4-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_rr,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,2,5,4,0,0,0,0,0,0,0,0,18477,True,0.3841,2445.0,796.4,,,,,
minimax-tsp-relational_rr-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,4,5,5,0,0,0,0,0,0,0,1,18481,True,0.3839666666666667,2456.4,897.0,,,,,
qwen-binpack-relational-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,4,6,6,0,0,0,0,0,0,0,0,20495,True,0.3168333333333333,2694.0,546.6666666666666,,,,,
qwen-tsp-relational-b3-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,3,slots8,8,,0,0,0,0,0,0,0,0,0,5,5,0,2,8,8,1,0,2,1,1,0,1,1,26201,True,,2451.375,608.875,0,0,1,0,1
minimax-binpack-relational_rr-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_rr,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,6,0,0,0,0,0,0,0,0,20990,True,0.30033333333333334,2566.5,698.1666666666666,,,,,
minimax-tsp-niche-b4-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,4,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,6,1,0,1,0,0,0,1,0,21936,True,,1639.25,766.625,,,,,
qwen-tsp-relational_qp-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,1,tokens30000,32,30000,1,1,1,0,0,0,1,1,1,4,4,0,1,6,6,2,1,3,1,1,0,2,2,20708,True,0.3097333333333333,2645.1666666666665,584.3333333333334,0,0,1,0,0
minimax-binpack-niche-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,niche,2,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,6,0,0,1,1,1,0,1,0,21508,True,,1554.625,730.5,1,1,0,0,0
minimax-tsp-relational_qp_rr-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,1,slots8,8,,1,1,1,0,0,0,1,1,1,5,5,0,1,8,8,1,1,3,2,2,0,2,2,32300,True,,2813.625,876.375,0,0,0,0,0
minimax-tsp-niche-b4-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,1,1,1,0,0,1,21181,True,0.2939666666666667,1552.125,771.25,0,1,0,0,0
minimax-tsp-relational_qp_rr-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,0,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,5,8,8,2,2,2,0,0,0,2,3,34971,True,,2964.125,969.125,,,,,
minimax-tsp-relational_qp-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,4,4,0,2,6,6,1,0,1,0,0,0,1,0,19606,True,0.3464666666666667,2210.5,795.3333333333334,,,,,
minimax-tsp-relational-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,1,slots8,8,,1,1,1,0,0,0,1,1,1,6,5,0,2,8,8,2,1,1,0,0,0,1,1,29018,True,,2546.875,784.75,,,,,
qwen-tsp-relational_rr-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_rr,2,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,2,7,7,0,0,0,0,0,0,0,0,21805,True,0.27316666666666667,2340.0,579.0,,,,,
qwen-binpack-relational-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational,0,slots8,8,,1,1,1,0,0,0,1,1,1,7,5,0,6,8,8,0,0,1,1,1,0,1,0,27974,True,,2784.625,541.125,1,1,0,0,0
minimax-tsp-relational_qp-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,3,slots8,8,,0,0,0,0,0,0,0,0,0,5,5,0,1,8,6,1,0,0,0,0,0,0,0,32037,True,,2711.375,852.5,,,,,
qwen-binpack-relational_qp-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,4,0,0,0,0,0,0,0,0,19255,True,0.35816666666666663,2436.1666666666665,562.8333333333334,,,,,
qwen-binpack-relational_rr-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_rr,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,3,6,6,0,0,0,0,0,0,0,0,19765,True,0.3411666666666666,2579.5,540.5,,,,,
qwen-binpack-niche-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,0,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,5,4,4,0,5,0,17768,True,,1440.0,561.5,4,4,0,0,0
minimax-binpack-relational_rr-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_rr,1,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,2,5,3,0,0,0,0,0,0,0,0,19071,True,0.36429999999999996,2572.0,766.0,,,,,
qwen-binpack-relational-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational,2,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,1,7,7,0,0,0,0,0,0,0,0,22381,True,0.2539666666666667,2451.1428571428573,554.5714285714286,,,,,
qwen-binpack-relational_qp_rr-b4-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp_rr,4,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,5,8,8,0,0,1,1,1,0,1,0,27749,True,,2774.125,531.625,1,1,0,0,0
qwen-binpack-niche-b3-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,3,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,2,2,2,0,2,0,15993,True,,1321.75,519.625,2,2,0,0,0
minimax-tsp-relational_qp_rr-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,2,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,1,5,5,0,0,1,1,1,0,0,1,21095,True,0.2968333333333333,2699.4,1001.0,0,0,1,0,0
qwen-tsp-relational_qp_rr-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,4,4,0,2,6,6,0,0,0,0,0,0,0,0,20504,True,0.31653333333333333,2632.8333333333335,593.3333333333334,,,,,
qwen-tsp-relational-b4-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,7,7,0,0,0,0,0,0,0,0,21996,True,0.26680000000000004,2329.4285714285716,601.5714285714286,,,,,
