provider,model,task,regime,method,metric,metric_label,direction,n,mean,median,bootstrap_95_low,bootstrap_95_high,block_values
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_qp_rr,parent_improvements,parent improvements,higher,5,0.8,1.0,0.2,1.4,"{""0"": 0.0, ""1"": 1.0, ""2"": 0.0, ""3"": 2.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_qp_rr,neighborhood_improvements,behavior-neighborhood improvements,higher,5,0.8,1.0,0.2,1.4,"{""0"": 2.0, ""1"": 1.0, ""2"": 0.0, ""3"": 1.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_qp_rr,productive_collisions,productive behavior collisions,higher,5,0.6,0.0,0.0,1.4,"{""0"": 2.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_qp_rr,unproductive_collisions,unproductive behavior collisions,lower,5,1.4,1.0,0.6,2.4,"{""0"": 3.0, ""1"": 0.0, ""2"": 2.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_qp_rr,restarts,restarts,lower,5,5.6,5.0,5.0,6.4,"{""0"": 6.0, ""1"": 5.0, ""2"": 7.0, ""3"": 5.0, ""4"": 5.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,validation_selected_test_loss,validation-selected mean test loss,lower,5,0.052910942890515476,0.05206376641266345,0.0473663412261648,0.05838930187374027,"{""0"": 0.04347354180268412, ""1"": 0.06260632551445816, ""2"": 0.05206376641266345, ""3"": 0.054542533625406876, ""4"": 0.05186854709736476}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,validation_selected_test_valid,validation-selected rule has valid test execution,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,common_gate_test_behavior_modes,test behavior modes within common quality gate,higher,5,3.4,3.0,2.2,4.8,"{""0"": 4.0, ""1"": 6.0, ""2"": 2.0, ""3"": 3.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,common_gate_test_eligible_size,test-eligible common-gate archive size,higher,5,3.6,3.0,2.2,5.4,"{""0"": 4.0, ""1"": 7.0, ""2"": 2.0, ""3"": 3.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,valid_fraction,valid generated fraction,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,tokens_used,reported input plus output tokens,lower,5,27502.2,27316.0,26340.8,28663.6,"{""0"": 29184.0, ""1"": 28817.0, ""2"": 25470.0, ""3"": 27316.0, ""4"": 26724.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,token_budget_valid,valid hard-token-ceiling run,higher,0,,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,learned_selector_test_loss,validation-fitted selector mean test loss,lower,5,0.05308495542570106,0.054542533625406876,0.04797359742431645,0.058196313427085665,"{""0"": 0.059219215872887476, ""1"": 0.059000300882123255, ""2"": 0.048121828983359316, ""3"": 0.054542533625406876, ""4"": 0.04454089776472837}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,selector_gain_vs_single,selector improvement over validation-selected single rule,higher,5,-0.00017401253518558452,0.003606024632334906,-0.008004994589188052,0.005229039631243193,"{""0"": -0.015745674070203358, ""1"": 0.003606024632334906, ""2"": 0.003941937429304133, ""3"": 0.0, ""4"": 0.007327649332636396}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,selector_seconds_per_instance,selector feature and prediction seconds per test instance,lower,5,0.0024147994447654736,0.002709158334053225,0.002024997222987521,0.002804065000317577,"{""0"": 0.0017949527795685248, ""1"": 0.0019143027764382875, ""2"": 0.002709158334053225, ""3"": 0.0028297583339735866, ""4"": 0.0028258249997937432}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,oracle_gain_upper_bound,test-instance oracle gain (upper bound only),higher,5,0.023038603075955094,0.018120201472732765,0.01714665335472159,0.03027922465483207,"{""0"": 0.017620594532652346, ""1"": 0.035254623742451446, ""2"": 0.016185938117785244, ""3"": 0.018120201472732765, ""4"": 0.028011657514153666}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,parent_improvements,parent improvements,higher,5,0.8,1.0,0.2,1.4,"{""0"": 1.0, ""1"": 2.0, ""2"": 0.0, ""3"": 1.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,neighborhood_improvements,behavior-neighborhood improvements,higher,5,1.0,1.0,0.4,1.6,"{""0"": 2.0, ""1"": 1.0, ""2"": 0.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,productive_collisions,productive behavior collisions,higher,5,0.8,1.0,0.2,1.4,"{""0"": 2.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,unproductive_collisions,unproductive behavior collisions,lower,5,1.0,1.0,0.2,1.8,"{""0"": 1.0, ""1"": 2.0, ""2"": 0.0, ""3"": 2.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,slots8,relational_rr,restarts,restarts,lower,5,5.8,5.0,5.0,6.6,"{""0"": 5.0, ""1"": 5.0, ""2"": 7.0, ""3"": 5.0, ""4"": 7.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,validation_selected_test_loss,validation-selected mean test loss,lower,5,0.05475362776134031,0.055793825972090975,0.04798103832721007,0.060451067867755545,"{""0"": 0.055793825972090975, ""1"": 0.06342870067576761, ""2"": 0.05206376641266345, ""3"": 0.05980205600757577, ""4"": 0.0426797897386037}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,validation_selected_test_valid,validation-selected rule has valid test execution,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,common_gate_test_behavior_modes,test behavior modes within common quality gate,higher,5,4.2,4.0,3.6,4.8,"{""0"": 3.0, ""1"": 5.0, ""2"": 4.0, ""3"": 4.0, ""4"": 5.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,common_gate_test_eligible_size,test-eligible common-gate archive size,higher,5,4.6,4.0,3.6,5.8,"{""0"": 3.0, ""1"": 5.0, ""2"": 4.0, ""3"": 4.0, ""4"": 7.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,valid_fraction,valid generated fraction,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,tokens_used,reported input plus output tokens,lower,5,24953.8,25005.0,24688.8,25184.0,"{""0"": 24478.0, ""1"": 24851.0, ""2"": 25317.0, ""3"": 25005.0, ""4"": 25118.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,token_budget_valid,valid hard-token-ceiling run,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,learned_selector_test_loss,validation-fitted selector mean test loss,lower,5,0.05098184860636519,0.057758430677019704,0.04008913236887911,0.061874564843851274,"{""0"": 0.057758430677019704, ""1"": 0.060931303732214635, ""2"": 0.035829466068654524, ""3"": 0.0648758930389037, ""4"": 0.035514149515033386}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,selector_gain_vs_single,selector improvement over validation-selected single rule,higher,5,0.003771779154975112,0.0024973969435529778,-0.0023158973057920682,0.010780787310133672,"{""0"": -0.0019646047049287282, ""1"": 0.0024973969435529778, ""2"": 0.016234300344008926, ""3"": -0.005073837031327931, ""4"": 0.007165640223570316}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,selector_seconds_per_instance,selector feature and prediction seconds per test instance,lower,5,0.0022645400002753984,0.002490755555401039,0.0019276588877093874,0.002601421112841409,"{""0"": 0.002570047224354413, ""1"": 0.0017766749984326048, ""2"": 0.002490755555401039, ""3"": 0.0017970944431403445, ""4"": 0.0026881277800485906}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,oracle_gain_upper_bound,test-instance oracle gain (upper bound only),higher,5,0.02792846433380162,0.030045450988989274,0.022884370282213042,0.03203649564764105,"{""0"": 0.019163219755167264, ""1"": 0.03368617128873458, ""2"": 0.030045450988989274, ""3"": 0.025365137300243562, ""4"": 0.031382342335873406}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,parent_improvements,parent improvements,higher,5,2.4,3.0,1.2,3.4,"{""0"": 2.0, ""1"": 4.0, ""2"": 0.0, ""3"": 3.0, ""4"": 3.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,neighborhood_improvements,behavior-neighborhood improvements,higher,5,1.4,0.0,0.0,3.8,"{""0"": 1.0, ""1"": 6.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,productive_collisions,productive behavior collisions,higher,5,1.6,1.0,0.2,3.4,"{""0"": 2.0, ""1"": 5.0, ""2"": 0.0, ""3"": 1.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,unproductive_collisions,unproductive behavior collisions,lower,5,3.2,3.0,2.4,4.2,"{""0"": 5.0, ""1"": 2.0, ""2"": 3.0, ""3"": 3.0, ""4"": 3.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,niche,restarts,restarts,lower,5,2.0,2.0,2.0,2.0,"{""0"": 2.0, ""1"": 2.0, ""2"": 2.0, ""3"": 2.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,validation_selected_test_loss,validation-selected mean test loss,lower,5,0.05545975546228554,0.05206376641266345,0.05089042444540705,0.06029396823088625,"{""0"": 0.04932563080982112, ""1"": 0.06126060245883437, ""2"": 0.05206376641266345, ""3"": 0.06278023053274404, ""4"": 0.05186854709736476}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,validation_selected_test_valid,validation-selected rule has valid test execution,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,common_gate_test_behavior_modes,test behavior modes within common quality gate,higher,5,3.0,2.0,2.0,4.2,"{""0"": 2.0, ""1"": 5.0, ""2"": 2.0, ""3"": 4.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,common_gate_test_eligible_size,test-eligible common-gate archive size,higher,5,3.0,2.0,2.0,4.2,"{""0"": 2.0, ""1"": 5.0, ""2"": 2.0, ""3"": 4.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,valid_fraction,valid generated fraction,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,tokens_used,reported input plus output tokens,lower,5,21168.8,21400.0,20223.2,22051.2,"{""0"": 20464.0, ""1"": 21400.0, ""2"": 22432.0, ""3"": 19552.0, ""4"": 21996.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,token_budget_valid,valid hard-token-ceiling run,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,learned_selector_test_loss,validation-fitted selector mean test loss,lower,5,0.05712558500866198,0.0565781759785986,0.046969115546544565,0.06586411892075336,"{""0"": 0.056434471343260295, ""1"": 0.06485270570364099, ""2"": 0.0565781759785986, ""3"": 0.06990977178920285, ""4"": 0.03785280022860718}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,selector_gain_vs_single,selector improvement over validation-selected single rule,higher,5,-0.001665829546376435,-0.00451440956593515,-0.006598234629146225,0.006269259365605391,"{""0"": -0.007108840533439173, ""1"": -0.0035921032448066187, ""2"": -0.00451440956593515, ""3"": -0.007129541256458816, ""4"": 0.014015746868757582}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,selector_seconds_per_instance,selector feature and prediction seconds per test instance,lower,5,0.002118860555735106,0.0018350305553111765,0.0017900705557420023,0.0024684705558077743,"{""0"": 0.0017425250003321304, ""1"": 0.0026628027780033234, ""2"": 0.0018151361113672869, ""3"": 0.002538808333661614, ""4"": 0.0018350305553111765}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,oracle_gain_upper_bound,test-instance oracle gain (upper bound only),higher,5,0.019022521300440454,0.020062443439177624,0.013852294719738006,0.024192747881142902,"{""0"": 0.013197561539709121, ""1"": 0.020062443439177624, ""2"": 0.011401953540047083, ""3"": 0.023160075568538156, ""4"": 0.02729057241473028}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,parent_improvements,parent improvements,higher,5,0.2,0.0,0.0,0.6,"{""0"": 0.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,neighborhood_improvements,behavior-neighborhood improvements,higher,5,0.6,1.0,0.2,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 0.0, ""3"": 1.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,productive_collisions,productive behavior collisions,higher,5,0.6,1.0,0.2,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 0.0, ""3"": 1.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,unproductive_collisions,unproductive behavior collisions,lower,5,0.6,0.0,0.0,1.4,"{""0"": 2.0, ""1"": 0.0, ""2"": 0.0, ""3"": 1.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational,restarts,restarts,lower,5,5.4,6.0,4.6,6.0,"{""0"": 6.0, ""1"": 5.0, ""2"": 6.0, ""3"": 4.0, ""4"": 6.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,validation_selected_test_loss,validation-selected mean test loss,lower,5,0.0591338330933748,0.05844785886118298,0.05326249717624788,0.06660913002349617,"{""0"": 0.05844785886118298, ""1"": 0.0738464453045773, ""2"": 0.05206376641266345, ""3"": 0.05944254779108549, ""4"": 0.05186854709736476}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,validation_selected_test_valid,validation-selected rule has valid test execution,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,common_gate_test_behavior_modes,test behavior modes within common quality gate,higher,5,3.4,4.0,2.6,4.0,"{""0"": 3.0, ""1"": 4.0, ""2"": 4.0, ""3"": 4.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,common_gate_test_eligible_size,test-eligible common-gate archive size,higher,5,3.6,4.0,2.6,4.4,"{""0"": 3.0, ""1"": 5.0, ""2"": 4.0, ""3"": 4.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,valid_fraction,valid generated fraction,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,tokens_used,reported input plus output tokens,lower,5,21109.8,20708.0,20449.6,22098.6,"{""0"": 20374.0, ""1"": 20708.0, ""2"": 23024.0, ""3"": 20396.0, ""4"": 21047.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,token_budget_valid,valid hard-token-ceiling run,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,learned_selector_test_loss,validation-fitted selector mean test loss,lower,5,0.0622520959705938,0.05884482392874836,0.05744877193202454,0.06981063711796973,"{""0"": 0.05844785886118298, ""1"": 0.07712117924411732, ""2"": 0.060896476280633466, ""3"": 0.05884482392874836, ""4"": 0.05595014153828686}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,selector_gain_vs_single,selector improvement over validation-selected single rule,higher,5,-0.0031182628772189955,-0.0032747339395400032,-0.006115944808966429,-0.0004158572429731444,"{""0"": 0.0, ""1"": -0.0032747339395400032, ""2"": -0.008832709867970016, ""3"": 0.0005977238623371406, ""4"": -0.004081594440922098}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,selector_seconds_per_instance,selector feature and prediction seconds per test instance,lower,5,0.002104862777438636,0.001887702777619577,0.0018165416666306555,0.002393183888246616,"{""0"": 0.001887702777619577, ""1"": 0.002540652775981774, ""2"": 0.001832499999889276, ""3"": 0.002498455555824977, ""4"": 0.001765002777877574}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,oracle_gain_upper_bound,test-instance oracle gain (upper bound only),higher,5,0.02599132155915059,0.025475239597410947,0.021228442147304027,0.030663437817376293,"{""0"": 0.01725707833053456, ""1"": 0.031067660621844267, ""2"": 0.025475239597410947, ""3"": 0.032853314122891, ""4"": 0.023303315123072186}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,parent_improvements,parent improvements,higher,5,0.6,0.0,0.0,1.4,"{""0"": 0.0, ""1"": 2.0, ""2"": 0.0, ""3"": 1.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,neighborhood_improvements,behavior-neighborhood improvements,higher,5,1.2,2.0,0.4,2.0,"{""0"": 2.0, ""1"": 2.0, ""2"": 0.0, ""3"": 0.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,productive_collisions,productive behavior collisions,higher,5,0.8,1.0,0.2,1.4,"{""0"": 1.0, ""1"": 2.0, ""2"": 0.0, ""3"": 0.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,unproductive_collisions,unproductive behavior collisions,lower,5,0.8,1.0,0.2,1.4,"{""0"": 2.0, ""1"": 0.0, ""2"": 0.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp,restarts,restarts,lower,5,5.2,6.0,4.4,6.0,"{""0"": 6.0, ""1"": 4.0, ""2"": 6.0, ""3"": 4.0, ""4"": 6.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,validation_selected_test_loss,validation-selected mean test loss,lower,5,0.06295106490068578,0.06278023053274404,0.054128971510560085,0.07177315829081148,"{""0"": 0.07798923407672351, ""1"": 0.07005354638393319, ""2"": 0.05206376641266345, ""3"": 0.06278023053274404, ""4"": 0.05186854709736476}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,validation_selected_test_valid,validation-selected rule has valid test execution,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,common_gate_test_behavior_modes,test behavior modes within common quality gate,higher,5,2.8,2.0,1.6,4.2,"{""0"": 2.0, ""1"": 4.0, ""2"": 5.0, ""3"": 2.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,common_gate_test_eligible_size,test-eligible common-gate archive size,higher,5,2.8,2.0,1.6,4.2,"{""0"": 2.0, ""1"": 4.0, ""2"": 5.0, ""3"": 2.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,valid_fraction,valid generated fraction,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,tokens_used,reported input plus output tokens,lower,5,21338.0,21890.0,20576.8,22039.2,"{""0"": 21951.0, ""1"": 21890.0, ""2"": 22202.0, ""3"": 20504.0, ""4"": 20143.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,token_budget_valid,valid hard-token-ceiling run,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,learned_selector_test_loss,validation-fitted selector mean test loss,lower,5,0.06417126657733616,0.059141627545738644,0.049813992179660094,0.07928083853898275,"{""0"": 0.08889255346644391, ""1"": 0.07785798519821727, ""2"": 0.043095619578916146, ""3"": 0.059141627545738644, ""4"": 0.05186854709736476}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,selector_gain_vs_single,selector improvement over validation-selected single rule,higher,5,-0.0012202016766503523,0.0,-0.007483103281601783,0.005042699928301078,"{""0"": -0.01090331938972039, ""1"": -0.007804438814284068, ""2"": 0.008968146833747304, ""3"": 0.003638602987005392, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,selector_seconds_per_instance,selector feature and prediction seconds per test instance,lower,5,0.002367260000513246,0.002269327776351323,0.0019294922233610932,0.0028888777771499006,"{""0"": 0.0033019111110156197, ""1"": 0.002518605557270348, ""2"": 0.002269327776351323, ""3"": 0.0020552555571258482, ""4"": 0.0016912000008030897}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,oracle_gain_upper_bound,test-instance oracle gain (upper bound only),higher,5,0.024745117966182714,0.028506767417598576,0.01140270696703943,0.034444520473659125,"{""0"": 0.029773632625287053, ""1"": 0.03913532258133455, ""2"": 0.028506767417598576, ""3"": 0.026309867206693392, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,parent_improvements,parent improvements,higher,5,0.2,0.0,0.0,0.6,"{""0"": 0.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,neighborhood_improvements,behavior-neighborhood improvements,higher,5,0.6,0.0,0.0,1.4,"{""0"": 1.0, ""1"": 2.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,productive_collisions,productive behavior collisions,higher,5,0.6,0.0,0.0,1.4,"{""0"": 1.0, ""1"": 2.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,unproductive_collisions,unproductive behavior collisions,lower,5,1.2,1.0,0.4,2.2,"{""0"": 3.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_qp_rr,restarts,restarts,lower,5,5.0,5.0,4.2,5.8,"{""0"": 6.0, ""1"": 4.0, ""2"": 5.0, ""3"": 4.0, ""4"": 6.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_rr,validation_selected_test_loss,validation-selected mean test loss,lower,5,0.05908353428430189,0.05316243736720468,0.052205412877452215,0.06923398715901766,"{""0"": 0.07798923407672351, ""1"": 0.05316243736720468, ""2"": 0.05206376641266345, ""3"": 0.06033368646755304, ""4"": 0.05186854709736476}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_rr,validation_selected_test_valid,validation-selected rule has valid test execution,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_rr,common_gate_test_behavior_modes,test behavior modes within common quality gate,higher,5,4.6,4.0,3.2,6.4,"{""0"": 3.0, ""1"": 8.0, ""2"": 5.0, ""3"": 3.0, ""4"": 4.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_rr,common_gate_test_eligible_size,test-eligible common-gate archive size,higher,5,4.8,5.0,3.4,6.4,"{""0"": 3.0, ""1"": 8.0, ""2"": 5.0, ""3"": 3.0, ""4"": 5.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_rr,valid_fraction,valid generated fraction,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_rr,tokens_used,reported input plus output tokens,lower,5,20777.0,21805.0,18968.0,22513.0,"{""0"": 17815.0, ""1"": 22510.0, ""2"": 21805.0, ""3"": 18885.0, ""4"": 22870.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_rr,token_budget_valid,valid hard-token-ceiling run,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_rr,learned_selector_test_loss,validation-fitted selector mean test loss,lower,5,0.05919211606463755,0.056675690081855544,0.05018566332546084,0.07124364139988777,"{""0"": 0.08114188322661392, ""1"": 0.056675690081855544, ""2"": 0.05459127985951196, ""3"": 0.058201277460085105, ""4"": 0.04535044969512118}"
alibaba-token-plan-cn,qwen3.7-plus,tsp,tokens30000,relational_rr,selector_gain_vs_single,selector improvement over validation-selected single rule,higher,5,-0.00010858178033564953,-0.0025275134468485116,-0.003171863435186206,0.0037068104128616594,"{""0"": -0.003152649149890399, ""1"": -0.0035132527146508608, ""2"": -0.0025275134468485116, ""3"": 0.0021324090074679378, ""4"": 0.006518097402243586}"
