cached_tokens,case_id,cohort,complete,config_id,dispatched,executable,failure,finish_reason,input_characters,input_tokens,job_id,json_valid,max_tokens,output_tokens,reasoning_tokens,repeat,request_id,returned_model,role,schema_valid,seconds,template,usage_complete,valid,validation_reason
705,,calibration,False,legacy_caps,True,,,length,2348,706,cal-p-c0-t0-r2,False,1800,1800,1799,2,0706c369cfaccaf80cf6b9457912bc80,MiniMax-M3,planner,False,7.880983899929561,from_scratch,True,False,final_json_missing_or_malformed
694,,calibration,False,legacy_caps,True,False,,length,2312,695,cal-c-c0-t2-r0,False,2000,2000,1999,0,0706c371f013f323833c25bbb174eb7c,MiniMax-M3,coder,False,5.678931000060402,reference_revision,True,False,final_json_missing_or_malformed
648,,calibration,True,expanded_caps,True,True,,stop,2194,649,cal-c-c1-t0-r0,True,4096,2009,1922,0,0706c377337f4635e99e00b1f5e3ccfa,MiniMax-M3,coder,True,7.847456900053658,from_scratch,True,True,executable_on_4_feature_fixtures
648,,calibration,True,expanded_caps,True,True,,stop,2196,649,cal-c-c1-t0-r1,True,4096,3949,3855,1,0706c37f5fc01c5533d93c3c1ac61791,MiniMax-M3,coder,True,14.799298999947496,from_scratch,True,True,executable_on_4_feature_fixtures
640,,calibration,True,legacy_caps,True,True,,stop,2244,665,cal-c-c0-t1-r2,True,2000,1016,923,2,0706c38e2b407c8cba0a35930f3fa9c9,MiniMax-M3,coder,True,10.262877100030892,parent_revision,True,True,executable_on_4_feature_fixtures
896,,calibration,True,expanded_caps,True,,,stop,2969,930,cal-p-c1-t2-r2,True,4096,3798,0,2,0706c3982c569e1ff685a457888b74e6,MiniMax-M3,planner,True,38.705695200013,reference_revision,True,True,valid
694,,calibration,True,expanded_caps,True,True,,stop,2314,695,cal-c-c1-t2-r1,True,4096,1562,1453,1,0706c3bf6b81ae45ba1a85f37722d807,MiniMax-M3,coder,True,5.0673960000276566,reference_revision,True,True,executable_on_4_feature_fixtures
705,,calibration,False,legacy_caps,True,,,length,2356,706,cal-p-c0-t0-r0,False,1800,1800,1799,0,0706c3c48cfafe44571eb0857e488789,MiniMax-M3,planner,False,8.977299200021662,from_scratch,True,False,final_json_missing_or_malformed
648,,calibration,True,expanded_caps,True,True,,stop,2196,649,cal-c-c1-t0-r2,True,4096,2075,1978,2,0706c3cd4c6d9632a1545259327b31ff,MiniMax-M3,coder,True,8.291234800009988,from_scratch,True,True,executable_on_4_feature_fixtures
128,,calibration,True,expanded_caps,True,,,stop,2354,707,cal-p-c1-t0-r1,True,4096,2188,0,1,0706c3d53b44af82b30a91e98b52b329,MiniMax-M3,planner,True,28.865078500006348,from_scratch,True,True,valid
128,,calibration,True,expanded_caps,True,True,,stop,2242,665,cal-c-c1-t1-r0,True,4096,1146,0,0,0706c3f2ed40813bc0b8ec5a8e103003,MiniMax-M3,coder,True,12.782083199941553,parent_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,,,stop,2350,706,acc-p-t0-r0,True,4096,2822,0,0,0706c3ff040941e8b66e534bbd6226c4,MiniMax-M3,planner,True,38.16749100002926,from_scratch,True,True,valid
,,acceptance,False,expanded_caps,True,,,length,2351,705,acc-p-t0-r1,False,4096,4096,,1,0706c425a05c8a590bd678eab2d0f67e,MiniMax-M3,planner,False,53.64224940002896,from_scratch,True,False,final_json_missing_or_malformed
